Personnage;Relation;Personnage lié;id;Acteur lié;Episodes
Chandler;Collègue;Eldad;312;Josh Cox;['619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Mrs McKenna;313;Janet Horbert;['902', '619', '922', '324', '324', '922', '122', '122']
Rachel;Collègue;Mr Thompson;314;Steve Hytner;['624']
Monica;Collègue;Paula;316;Jenifer Lewis;['103']
Ross;Collègue;Lydia;317;Louisa Abernathy;['618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Scott;318;Chip Chinery;['411', '618', '922', '1006', '1006']
Monica;Ami;Fausse Monica;319;Claudia Shears;['121']
Ross;Collègue;Mel;320;David Moreland;['618', '922', '1006', '1006']
Chandler;Collègue;Phil;321;Steve Dark;['324', '324', '922', '122', '122']
Chandler;Collègue;Stevens;322;Joe O’Connor;['324', '922', '122', '122']
Rachel;Ami;Katherine;323;Adria Tennor;['820']
Phoebe;Collègue;Réceptionniste du centre de massage;325;Debra Azar;['921', '713']
Ross;Collègue;Professeur Sherman;326;Dan Desmond;['922', '1006', '1006']
Ross;Collègue;Dr Biely;327;Cathy Lind Hayes;['1006', '1006']
Ross;Collègue;Dr Li;328;Ming Lo;['1006']
Ross;Petit%20Ami;Joan;329;Carla Touts;['1009']
Chandler;Collègue;Gerson;330;Brian Buckner;['122', '122']
Phoebe;Collègue;Responsable chez Empire Office Suplies;331;Joyce Guy;['713']
Chandler;Collègue;Petrie;332;Darryl Sivad;['122']
Joey;Petit%20Ami;Casey;333;non créditée;['407']
Monica;Voisin;Voisin gourmand de Monica et conquête potentielle de Rachel;341;Ashley L. Clark;['709', '811', '709', '709']
Ross;Collègue;Professeur Ted Friesell;343;Jim Bentley;['411', '619', '322', '1006', '604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Monica;Voisin;Voisine du dessus de Monica;386;Amy Hill;['709', '709']
Monica;Voisin;Gary;396;Jonathan Floyd;['709']
Joey;Collègue;Figurante dans Days of our lives;449;Heather Sims;['911', '202', '212', '615', '704', '704', '615', '919']
Joey;Voisin;Chanteur matinal;470;Michael Connor;['419']
Ross;Voisin;Jen;511;Samantha Smith;['517', '517', '517', '517', '807', '515', '515', '515', '515']
Ross;Voisin;Petite fille, voisine de Ross;523;Devyn La Bella;['517', '517', '517', '807', '515', '515', '515', '515']
Ross;Voisin;Vieil homme, voisin de Ross;536;Ralph Manza;['517', '517', '807', '515', '515', '515', '515']
Ross;Voisin;Voisin de Ross à la recherche de Joey;598;Marc Goldsmith;['517', '807', '515', '515', '515', '515']
Ross;Voisin;Mrs Verhoeven;602;Dale Raoul;['807', '515', '515', '515', '515']
Ross;Voisin;Invité à la fête pour Howard;694;Stephon Fuller;['515', '515', '515', '515']
Ross;Voisin;Steve;696;Willie Garson;['515', '515', '515']
Ross;Voisin;Invitée à la fête pour Howard;700;Linde Gibb;['515', '515']
Ross;Voisin;Invité à la fête pour Howard;709;David Dalton;['515']
Rachel;Voisin;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";;©Fan Club Français de Friends&Friends Generation 2;[]
Ross;Ams;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";;©Fan Club Français de Friends&Friends Generation 2;[]
Chandler;Voisin;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";;©Fan Club Français de Friends&Friends Generation 2;[]
Phoebe;Voisin;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";;©Fan Club Français de Friends&Friends Generation 2;[]
Rachel;Voisin;Pas de réponses pour cette recherche.;;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Ross;Ams;Pas de réponses pour cette recherche.;;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Chandler;Voisin;Pas de réponses pour cette recherche.;;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Phoebe;Voisin;Pas de réponses pour cette recherche.;;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
