Personnage;Relation;Personnage lié;id_personnage;Acteur lié;Episodes;id_relation;id_personnage_1;
Phoebe;Petit%20Ami;David;75;Hank Azaria;['110', '711', '906', '922', '923'];1;3;
Ross;Petit%20Ami;Elizabeth Stevens;76;Alexandra Holden;['618', '619', '621', '622', '624'];1;6;
Rachel;Petit%20Ami;Barry Farber;77;Mitchell Whitfield;['102', '119', '120', '224', '616'];1;1;
Rachel;Petit%20Ami;Joshua Bergen;78;Tate Donovan;['413', '414', '416', '418', '420'];1;1;
Monica;Voisin;Mr Treeger;80;Michael G. Hagerty;['203', '209', '404', '417', '803'];4;2;
Rachel;Petit%20Ami;Paolo;81;Cosimo Fusco;['107', '111', '112', '201'];1;1;
Rachel;Collègue;Mr Zelner;83;Steve Ireland;['517', '709', '817', '911', '1014', '1015'];5;1;
Phoebe;Petit%20Ami;Gary;85;Michael Rapaport;['516', '517', '520', '521'];1;3;
Rachel;Famille;Dr Leonard Green;86;Ron Leibman;['222', '307', '808', '1013'];2;1;
Phoebe;Collègue;Jasmine;87;Cynthia Mann;['101', '112', '305', '316'];5;3;
Rachel;Collègue;Sophie;88;Laura Dean;['315', '320', '403', '409'];5;1;
Phoebe;Famille;Phoebe Abbott;89;Teri Garr;['325', '401', '411'];2;3;
Rachel;Collègue;Joanna;90;Alison LaPlaca;['320', '403', '409'];5;1;
Chandler;Ami;Eddie Minowick;91;Adam Goldberg;['217', '218', '219'];3;5;
Ross;Petit%20Ami;Bonnie;92;Christine Taylor;['324', '325', '401'];1;6;
Joey;Petit%20Ami;Kate Miller;93;Dina Meyer;['319', '320', '322'];1;4;
Rachel;Famille;Sandra Green;94;Marlo Thomas;['211', '222', '820'];2;1;
Rachel;Petit%20Ami;Danny, le yeti;95;George Newbern;['506', '507', '510'];1;1;
Chandler;Collègue;Steve;98;Phill  Lewis;['911', '915', '918'];5;5;
Monica;Petit%20Ami;Bob le marrant;99;Vincent Ventresca;['110', '210'];1;2;
Ross;Petit%20Ami;Chloe;100;Angela Featherstone;['315', '316'];1;6;
Monica;Collègue;Stu;102;Fred Stoller;['410', '808'];5;2;
Joey;Petit%20Ami;Lauren;103;Jennifer Milmore;['320', '322'];1;4;
